date,STATE,CONSUMPTION
2006-10-01,DC,3493.0
2006-11-01,DC,0.0
2006-12-01,DC,9880.0
2001-01-01,DE,542034.0
2001-02-01,DE,495654.0
2001-03-01,DE,1693469.0
2001-04-01,DE,605127.0
2001-05-01,DE,1366966.0
2001-06-01,DE,1709133.0
2001-07-01,DE,1884290.0
2001-08-01,DE,3423535.0
2001-09-01,DE,3136001.0
2001-10-01,DE,2810041.0
2001-11-01,DE,1326221.0
2001-12-01,DE,607779.0
2002-01-01,DE,964344.0
2002-02-01,DE,1375648.0
2002-03-01,DE,1556854.0
2002-04-01,DE,1422999.0
2002-05-01,DE,1187759.0
2002-06-01,DE,1630721.0
2002-07-01,DE,5539701.0
2002-08-01,DE,2815267.0
2002-09-01,DE,2199948.0
2002-10-01,DE,1544337.0
2002-11-01,DE,451227.0
2002-12-01,DE,578517.0
2003-01-01,DE,1150925.0
2003-02-01,DE,1036802.0
2003-03-01,DE,1786043.0
2003-04-01,DE,1231737.0
2003-05-01,DE,579893.0
2003-06-01,DE,1210405.0
2003-07-01,DE,2837343.0
2003-08-01,DE,2683239.0
2003-09-01,DE,1498495.0
2003-10-01,DE,1126443.0
2003-11-01,DE,673563.0
2003-12-01,DE,851294.0
2004-01-01,DE,1841075.68
2004-02-01,DE,1092835.1600000001
2004-03-01,DE,1092584.25
2004-04-01,DE,1061432.7499999998
2004-05-01,DE,1935525.7100000002
2004-06-01,DE,1322980.21
2004-07-01,DE,1433495.73
2004-08-01,DE,1279904.61
2004-09-01,DE,1524165.6099999999
2004-10-01,DE,615474.27
2004-11-01,DE,1040884.9500000001
2004-12-01,DE,2545711.83
2005-01-01,DE,1976723.0
2005-02-01,DE,1188472.65
2005-03-01,DE,1204137.4000000001
2005-04-01,DE,413152.01999999996
2005-05-01,DE,558299.3999999999
2005-06-01,DE,1870074.5399999998
2005-07-01,DE,2467391.09
2005-08-01,DE,2828173.06
2005-09-01,DE,1654300.23
2005-10-01,DE,1213220.31
2005-11-01,DE,707257.3200000001
2005-12-01,DE,766180.52
2006-01-01,DE,689987.9600000001
2006-02-01,DE,609228.1599999999
2006-03-01,DE,1020552.29
2006-04-01,DE,414518.42
2006-05-01,DE,691896.68
2006-06-01,DE,1490935.8699999999
2006-07-01,DE,2402007.0500000003
2006-08-01,DE,1850173.2
2006-09-01,DE,806510.9
2006-10-01,DE,723337.9299999999
2006-11-01,DE,527074.22
2006-12-01,DE,838476.8200000001
2001-01-01,FL,28120886.0
2001-02-01,FL,21717029.0
2001-03-01,FL,29103776.0
2001-04-01,FL,35005527.0
2001-05-01,FL,38199210.0
2001-06-01,FL,45681862.0
2001-07-01,FL,50668521.0
2001-08-01,FL,53810577.0
2001-09-01,FL,51415711.0
2001-10-01,FL,48359758.0
2001-11-01,FL,35039529.0
2001-12-01,FL,40240790.0
2002-01-01,FL,41216266.0
2002-02-01,FL,32589839.0
